Movies,Director,Actors,Year
Boom,Kaizad Gustad,"Amitabh Bachchan, Jackie Shroff, Gulshan Grover, Katrina Kaif, Madhu Sapre, Padma Lakshmi",2003
Calcutta Mail,Sudhir Mishra,"Anil Kapoor, Rani Mukerji, Manisha Koirala",2003
Chori Chori,Milan Luthria,"Ajay Devgn, Rani Mukerji, Sonali Bendre",2003
Chupke Se,Shona Urvashi,"Zulfi Syed, Masumeh Makhija",2003
Chura Liyaa Hai Tumne,Sangeeth Sivan,"Zayed Khan, Esha Deol",2003
Darna Mana Hai,Prawaal Raman,"Saif Ali Khan, Shilpa Shetty, Sameera Reddy, Vivek Oberoi, Sohail Khan, Aftab Shivdasani, Antara Mali, Nana Patekar, Rajpal Yadav, Isha Koppikar, Sanjay Kapoor",2003
Dhoop,Ashwini Chaudhary,"Murli Sharma, Gul Panag, Om Puri, Revathi, Sanjay Suri",2003
Dhund,Shyam Ramsay,"Amar Upadhyay, Aditi Gowitrikar, Irrfan Khan, Gulshan Grover, Apoorva Agnihotri",2003
Dil Ka Rishta,Naresh Malhotra,"Arjun Rampal, Aishwarya Rai, Priyanshu Chatterjee, Isha Koppikar, Raakhee, Paresh Rawal",2003
Dil Pardesi Ho Gayaa,Saawan Kumar Tak,"Kapil Jhaveri, Ashutosh Rana, Saloni Aswani, Amrish Puri",2003
Dum,Eeshwar Nivas,"Vivek Oberoi, Diya Mirza, Vivek Shauq, Atul Kulkarni",2003
Ek Alag Mausam,K. P. Sasi,"Nandita Das, Anupam Kher",2003
Ek Aur Ek Gyarah,David Dhawan,"Sanjay Dutt, Govinda, Amrita Arora, Gulshan Grover, Jackie Shroff, Ashish Vidyarthi",2003
Ek Din 24 Ghante,Anant Balani,"Rahul Bose, Nandita Das, Kabir Sadanand, Prithvi Zutshi",2003
Escape from Taliban,Ujjal Chattopadhyaya,Manisha Koirala,2003
